tconst	titleType	primaryTitle	startYear	runtimeMinutes	genres
tt0000009	movie	Miss Jerry	1894	45	Romance
tt0000147	movie	The Corbett-Fitzsimmons Fight	1897	100	Documentary,News,Sport
tt0000502	movie	Bohemios	1905	100	\N
tt0000574	movie	The Story of the Kelly Gang	1906	70	Action,Adventure,Biography
tt0000591	movie	The Prodigal Son	1907	90	Drama
tt0000615	movie	Robbery Under Arms	1907	\N	Drama
tt0000630	movie	Hamlet	1908	\N	Drama
tt0000675	movie	Don Quijote	1908	\N	Drama
tt0000679	movie	The Fairylogue and Radio-Plays	1908	120	Adventure,Fantasy
tt0000838	movie	A Cultura do Cacau	1909	\N	\N
tt0000842	movie	De Garraf a Barcelona	1909	\N	\N
tt0000846	movie	Un día en Xochimilco	1909	\N	\N
tt0000850	movie	Los dos hermanos	1909	\N	\N
tt0000859	movie	Fabricación del corcho en Sant Feliu de Guixols	1909	\N	\N
tt0000862	movie	Faldgruben	1909	\N	\N
tt0000867	movie	Fiesta de toros	1909	\N	\N
tt0000868	movie	Fiestas de Santa Lucía - Belenes	1909	\N	\N
tt0000869	movie	Fiestas en La Garriga	1909	\N	\N
tt0000879	movie	Gira política de Madero y Pino Suárez	1909	\N	\N
tt0000886	movie	Hamlet, Prince of Denmark	1910	\N	Drama
tt0000941	movie	Locura de amor	1909	45	Drama
tt0000947	movie	Lægens offer	1909	\N	\N
tt0000959	movie	Melilla y el Gurugu	1909	\N	\N
tt0000984	movie	Niños en la alameda	1909	\N	\N
tt0001007	movie	La primera y segunda casetas	1909	\N	\N
tt0001010	movie	Protección de un convoy de víveres en el puente de camellos	1909	\N	\N
